detector,period,deleted_symbol,rows,target_first_precision,precision_lift,dynamic_mean_net_bps
H3_two_bar_reversal_confirmation_long,2026,MSTR,539,0.44712430426716143,-0.05194805194805195,-15.666365363149493
H3_two_bar_reversal_confirmation_long,2026,NVTS,548,0.4470802919708029,-0.04744525547445255,-15.944744428249567
H3_two_bar_reversal_confirmation_long,2026,QBTS,550,0.44727272727272727,-0.06,-15.517244442501019
H3_two_bar_reversal_confirmation_long,2026,RGTI,542,0.44095940959409596,-0.06642066420664207,-16.70762192007411
H3_two_bar_reversal_confirmation_long,2026,RIOT,532,0.4548872180451128,-0.043233082706766915,-14.50750688671319
H3_two_bar_reversal_confirmation_long,2026,RIVN,539,0.4489795918367347,-0.05194805194805195,-16.00619617793515
H3_two_bar_reversal_confirmation_long,2026,SMCI,544,0.45036764705882354,-0.05514705882352941,-15.637266207489638
H3_two_bar_reversal_confirmation_long,2026,SOFI,544,0.44669117647058826,-0.05698529411764706,-15.722801209071674
H3_two_bar_reversal_confirmation_long,2026,WULF,533,0.4596622889305816,-0.043151969981238276,-14.195722317858023
H4_opening_range_failed_breakdown_long,2025,AAL,451,0.38802660753880264,-0.09090909090909091,-23.57127953906496
H4_opening_range_failed_breakdown_long,2025,AAOI,453,0.39293598233995586,-0.08167770419426049,-22.854069547104043
H4_opening_range_failed_breakdown_long,2025,APLD,454,0.4052863436123348,-0.07929515418502203,-21.83706224031399
H4_opening_range_failed_breakdown_long,2025,ASTS,455,0.3956043956043956,-0.08131868131868132,-22.899198884135938
H4_opening_range_failed_breakdown_long,2025,CIFR,447,0.3959731543624161,-0.087248322147651,-22.91595527181699
H4_opening_range_failed_breakdown_long,2025,HIMS,431,0.39443155452436196,-0.09280742459396751,-22.86110394951082
H4_opening_range_failed_breakdown_long,2025,IONQ,446,0.40358744394618834,-0.08968609865470852,-21.489691164045027
H4_opening_range_failed_breakdown_long,2025,IREN,448,0.40401785714285715,-0.08482142857142858,-22.484494873204167
H4_opening_range_failed_breakdown_long,2025,MARA,451,0.3991130820399113,-0.082039911308204,-22.6229554670715
H4_opening_range_failed_breakdown_long,2025,MP,453,0.3973509933774834,-0.08830022075055188,-22.886187569885774
H4_opening_range_failed_breakdown_long,2025,MRNA,457,0.3916849015317287,-0.0962800875273523,-23.239015268708705
H4_opening_range_failed_breakdown_long,2025,MSTR,448,0.38839285714285715,-0.09598214285714286,-23.89482673149063
H4_opening_range_failed_breakdown_long,2025,NVTS,450,0.39555555555555555,-0.09333333333333334,-23.50362400652558
H4_opening_range_failed_breakdown_long,2025,QBTS,447,0.4004474272930649,-0.087248322147651,-22.311048330035213
H4_opening_range_failed_breakdown_long,2025,RGTI,456,0.40131578947368424,-0.09429824561403509,-22.21616867261777
H4_opening_range_failed_breakdown_long,2025,RIOT,438,0.3926940639269406,-0.1004566210045662,-23.55775711670905
