symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
BNZL,34777674,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:29.837846+00:00,
BOWL,248810607,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:45.738072+00:00,
BOY,56437692,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:35.691502+00:00,
BP.,228891,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:25.251005+00:00,
BPT,504210148,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:55.741071+00:00,
BRBY,15977601,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:28.341690+00:00,
BRES,361343799,0,False,0,,2026-09-14T08:58:50.938150+00:00,IBKR historical data returned no bars for BRES
BRK,89552268,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:38.845398+00:00,
BSFA,376221583,0,False,0,,2026-09-14T08:58:51.440534+00:00,IBKR historical data returned no bars for BSFA
BT.A,13672206,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:28.038874+00:00,
