scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share,hidden_family_class,assessment_events,rough_screen_positive,q_value
unregistered_primitive_like__4-7-4,assessment,6,opposite_opening_pressure_direction,74,53,17,-25.4138215920525,-37.1756654560951,-30.1884183707047,0.418918918918919,21.3142311056449,-14.5861784079475,-4.10117474354654,19.104777012105,0.986486486486487,0.135135135135135,0.390283535535945,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,assessment,6,opposite_opening_pressure_direction,684,147,20,-23.8098491416425,-21.3652589608598,-24.6706234552335,0.390350877192982,4.5589654438088,-16.1901508583575,-16.9385370877046,3.07601192413064,0.994152046783626,0.0774853801169591,0.216463561730738,,,,
unregistered_primitive_like__5-6-5,assessment,12,opening_pressure_direction,597,125,20,-7.97142945538276,-14.305238531348,-7.46548406139069,0.470686767169179,8.53393834784103,-7.97142945538276,-17.7027421791138,12.2233554448457,0.988274706867672,0.0820770519262982,0.244879918544452,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,assessment,12,opening_pressure_direction,211,94,20,-32.1900407305297,-29.2888992104023,-33.5662429995331,0.350710900473934,7.28360220758746,-32.1900407305297,-32.7970194749646,-7.28862319938958,0.995260663507109,0.151658767772512,0.303913396788105,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,assessment,12,opening_pressure_direction,75,52,20,-32.7444931570867,-17.3993498049829,-25.1249631772341,0.466666666666667,19.8866489340966,-32.7444931570867,-24.6565927971524,-3.70455771678015,0.986666666666667,0.213333333333333,0.315421293814482,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,assessment,12,opening_pressure_direction,74,53,17,12.1981268127461,11.6151170201873,3.10641735224306,0.527027027027027,30.4173626978111,12.1981268127461,24.796573614368,44.9686473090599,0.986486486486487,0.135135135135135,0.285734141701313,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,assessment,12,opening_pressure_direction,684,147,20,-18.6971773034047,-14.7269266675398,-16.8146077767247,0.45906432748538,6.00196640947332,-18.6971773034047,-13.9229931466032,5.20782123434387,0.994152046783626,0.0774853801169591,0.219994432302586,,,,
unregistered_primitive_like__5-6-5,assessment,12,completion_momentum_direction,597,125,20,-15.1767376780645,-20,-15.9457715746771,0.462311557788945,8.54586642787857,-7.97142945538276,-17.7027421791138,12.2233554448457,0.988274706867672,0.0820770519262982,0.244879918544452,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,assessment,12,completion_momentum_direction,211,94,20,-25.3958716595637,-20,-25.2335717251549,0.398104265402844,7.32255566136767,-32.1900407305297,-32.7970194749646,-7.28862319938958,0.995260663507109,0.151658767772512,0.303913396788105,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,assessment,12,completion_momentum_direction,75,52,20,-2.89128242580577,1.96748681897898,-7.07484514959705,0.52,19.8423330962779,-32.7444931570867,-24.6565927971524,-3.70455771678015,0.986666666666667,0.213333333333333,0.315421293814482,unregistered_primitive_like__2-5-2,75,False,1
