record_type,draw,metric,value,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,124,D2_minus_D1_log_loss_improvement,-0.0052657604741144226,,,,
draw,125,D2_minus_D1_log_loss_improvement,-0.014824136911456565,,,,
draw,126,D2_minus_D1_log_loss_improvement,-0.0020517339164852766,,,,
draw,127,D2_minus_D1_log_loss_improvement,-0.0051317136856994239,,,,
draw,128,D2_minus_D1_log_loss_improvement,-0.016408751469492722,,,,
draw,129,D2_minus_D1_log_loss_improvement,-0.010196779856596616,,,,
draw,130,D2_minus_D1_log_loss_improvement,-0.011094589750924366,,,,
draw,131,D2_minus_D1_log_loss_improvement,-0.011508490870640431,,,,
draw,132,D2_minus_D1_log_loss_improvement,-0.011978264404993721,,,,
draw,133,D2_minus_D1_log_loss_improvement,-0.014013240134479021,,,,
draw,134,D2_minus_D1_log_loss_improvement,-0.0078363554690054071,,,,
draw,135,D2_minus_D1_log_loss_improvement,-0.0052187451403724605,,,,
draw,136,D2_minus_D1_log_loss_improvement,-0.01381654689609535,,,,
draw,137,D2_minus_D1_log_loss_improvement,-0.017595683650278637,,,,
draw,138,D2_minus_D1_log_loss_improvement,-0.012104808519886934,,,,
draw,139,D2_minus_D1_log_loss_improvement,-0.016056543943037127,,,,
draw,140,D2_minus_D1_log_loss_improvement,-0.0071852835423403816,,,,
draw,141,D2_minus_D1_log_loss_improvement,-0.016122491110947434,,,,
draw,142,D2_minus_D1_log_loss_improvement,-0.013264903727918331,,,,
draw,143,D2_minus_D1_log_loss_improvement,-0.016450610273102018,,,,
draw,144,D2_minus_D1_log_loss_improvement,-0.015892562568948332,,,,
draw,145,D2_minus_D1_log_loss_improvement,-0.0015866888151288006,,,,
draw,146,D2_minus_D1_log_loss_improvement,-0.012849820926892463,,,,
draw,147,D2_minus_D1_log_loss_improvement,-0.0066651259630086113,,,,
draw,148,D2_minus_D1_log_loss_improvement,-0.011657870488526734,,,,
draw,149,D2_minus_D1_log_loss_improvement,-0.0054508580748823254,,,,
draw,150,D2_minus_D1_log_loss_improvement,-0.0043862159053026373,,,,
draw,151,D2_minus_D1_log_loss_improvement,-0.0069365800671603584,,,,
draw,152,D2_minus_D1_log_loss_improvement,-0.012552770809666547,,,,
draw,153,D2_minus_D1_log_loss_improvement,-0.0032244964221943562,,,,
draw,154,D2_minus_D1_log_loss_improvement,-0.0011792085466437729,,,,
draw,155,D2_minus_D1_log_loss_improvement,-0.0074451594233594376,,,,
draw,156,D2_minus_D1_log_loss_improvement,-0.0092158488610434297,,,,
draw,157,D2_minus_D1_log_loss_improvement,-0.0053498604235894254,,,,
draw,158,D2_minus_D1_log_loss_improvement,-0.0042775922211419903,,,,
draw,159,D2_minus_D1_log_loss_improvement,-0.0054426911399012567,,,,
draw,160,D2_minus_D1_log_loss_improvement,-0.0083772226347473833,,,,
draw,161,D2_minus_D1_log_loss_improvement,-0.0063996683608851246,,,,
draw,162,D2_minus_D1_log_loss_improvement,-0.014634296873762387,,,,
draw,163,D2_minus_D1_log_loss_improvement,-0.0054450415754944137,,,,
draw,164,D2_minus_D1_log_loss_improvement,-0.0062264158960902982,,,,
draw,165,D2_minus_D1_log_loss_improvement,-0.0057156199521309903,,,,
draw,166,D2_minus_D1_log_loss_improvement,-0.015670192929695959,,,,
draw,167,D2_minus_D1_log_loss_improvement,-0.0060591571560719704,,,,
draw,168,D2_minus_D1_log_loss_improvement,-0.0079017716548607231,,,,
draw,169,D2_minus_D1_log_loss_improvement,-0.00022358208957096171,,,,
draw,170,D2_minus_D1_log_loss_improvement,-0.0076459869707360406,,,,
draw,171,D2_minus_D1_log_loss_improvement,0.00084775141649162666,,,,
draw,172,D2_minus_D1_log_loss_improvement,-0.0017888245229883415,,,,
draw,173,D2_minus_D1_log_loss_improvement,-0.0080364040392649772,,,,
draw,174,D2_minus_D1_log_loss_improvement,-0.005578659615549042,,,,
