stage,model,scope_type,scope_value,bin,mean_probability,outcome_rate,rows
direction,D0,month,2025-05,1,,,0
direction,D0,month,2025-05,2,,,0
direction,D0,month,2025-05,3,,,0
direction,D0,month,2025-05,4,,,0
direction,D0,month,2025-05,5,0.467293391616,0.793103448276,29
direction,D0,month,2025-05,6,0.541011742996,0.833333333333,12
direction,D0,month,2025-05,7,,,0
direction,D0,month,2025-05,8,,,0
direction,D0,month,2025-05,9,,,0
direction,D0,month,2025-05,10,,,0
direction,D1,month,2025-05,1,,,0
direction,D1,month,2025-05,2,,,0
direction,D1,month,2025-05,3,0.275486664759,1,4
direction,D1,month,2025-05,4,0.339969304634,0.733333333333,15
direction,D1,month,2025-05,5,0.443543839154,0.727272727273,11
direction,D1,month,2025-05,6,0.523282272687,0.857142857143,7
direction,D1,month,2025-05,7,0.640730313017,1,2
direction,D1,month,2025-05,8,0.707617915885,1,1
direction,D1,month,2025-05,9,,,0
direction,D1,month,2025-05,10,0.962888533336,1,1
direction,D2,month,2025-05,1,,,0
direction,D2,month,2025-05,2,0.168900770483,0.8,5
direction,D2,month,2025-05,3,0.273128897261,0.714285714286,7
direction,D2,month,2025-05,4,0.356173464332,0.875,8
direction,D2,month,2025-05,5,0.458136214557,0.875,8
direction,D2,month,2025-05,6,0.563442688886,0.6,5
direction,D2,month,2025-05,7,0.661486198441,1,3
direction,D2,month,2025-05,8,0.749091719619,0.75,4
