record_type,draw,metric,value,real_value,null_90th_percentile,real_percentile_under_null
draw,63,movement_M2_minus_M1_brier_improvement,-0.000498630405628,-0.000980693941384,,
draw,63,movement_M3_minus_M2_brier_improvement,-0.000458298752242,-0.000781293526861,,
draw,63,direction_M2_minus_M1_brier_improvement,-0.00234675925301,9.30998956193e-05,,
draw,63,direction_M3_minus_M2_brier_improvement,-0.0045883652666,-0.00236751462572,,
draw,64,movement_M2_minus_M1_brier_improvement,-0.00113896317423,-0.000980693941384,,
draw,64,movement_M3_minus_M2_brier_improvement,-0.000462931675095,-0.000781293526861,,
draw,64,direction_M2_minus_M1_brier_improvement,-0.00577590342724,9.30998956193e-05,,
draw,64,direction_M3_minus_M2_brier_improvement,-0.00266363383711,-0.00236751462572,,
draw,65,movement_M2_minus_M1_brier_improvement,-0.00072123555294,-0.000980693941384,,
draw,65,movement_M3_minus_M2_brier_improvement,-0.000659106233102,-0.000781293526861,,
draw,65,direction_M2_minus_M1_brier_improvement,-0.00286597681632,9.30998956193e-05,,
draw,65,direction_M3_minus_M2_brier_improvement,-0.000903112333391,-0.00236751462572,,
draw,66,movement_M2_minus_M1_brier_improvement,-0.000876632205774,-0.000980693941384,,
draw,66,movement_M3_minus_M2_brier_improvement,-0.00021590794145,-0.000781293526861,,
draw,66,direction_M2_minus_M1_brier_improvement,-0.00169620126911,9.30998956193e-05,,
draw,66,direction_M3_minus_M2_brier_improvement,-0.00225617360706,-0.00236751462572,,
draw,67,movement_M2_minus_M1_brier_improvement,-0.000669182668949,-0.000980693941384,,
draw,67,movement_M3_minus_M2_brier_improvement,-0.0005682394583,-0.000781293526861,,
draw,67,direction_M2_minus_M1_brier_improvement,-0.00493356005684,9.30998956193e-05,,
draw,67,direction_M3_minus_M2_brier_improvement,-0.00123683402069,-0.00236751462572,,
draw,68,movement_M2_minus_M1_brier_improvement,-0.00096849141644,-0.000980693941384,,
draw,68,movement_M3_minus_M2_brier_improvement,-0.000673932294871,-0.000781293526861,,
draw,68,direction_M2_minus_M1_brier_improvement,-0.00443536202562,9.30998956193e-05,,
draw,68,direction_M3_minus_M2_brier_improvement,-0.000669344960799,-0.00236751462572,,
draw,69,movement_M2_minus_M1_brier_improvement,-0.000857329090495,-0.000980693941384,,
draw,69,movement_M3_minus_M2_brier_improvement,-0.000725901030423,-0.000781293526861,,
draw,69,direction_M2_minus_M1_brier_improvement,-0.00392270804992,9.30998956193e-05,,
draw,69,direction_M3_minus_M2_brier_improvement,-0.00428286054662,-0.00236751462572,,
draw,70,movement_M2_minus_M1_brier_improvement,-0.000729113426354,-0.000980693941384,,
draw,70,movement_M3_minus_M2_brier_improvement,-0.000347914731932,-0.000781293526861,,
draw,70,direction_M2_minus_M1_brier_improvement,-0.00115959012852,9.30998956193e-05,,
draw,70,direction_M3_minus_M2_brier_improvement,-0.00313977638438,-0.00236751462572,,
draw,71,movement_M2_minus_M1_brier_improvement,-0.000385764495876,-0.000980693941384,,
draw,71,movement_M3_minus_M2_brier_improvement,-0.000644069456501,-0.000781293526861,,
draw,71,direction_M2_minus_M1_brier_improvement,-0.00239322607528,9.30998956193e-05,,
