record_type,draw,comparison,metric,real_value,null_value,null_q90,real_percentile,draws,activity_bundle_sha256
draw,16,D2_minus_D1,brier,-0.0231968307288,-0.0314563988866,,,50,5c1eabf021dc7c7f32301e4a4e09fd874fa0754f5bf3afd48ba6568d12189e56
draw,17,D2_minus_D1,brier,-0.0231968307288,-0.00067676596159,,,50,aed82a9c4c98740abce19b1227bab54c0c0819175e8e07faa6a71b93333ed3cc
draw,18,D2_minus_D1,brier,-0.0231968307288,-0.00881594174925,,,50,51bdcfc98e7a3799a408c0daecbfa436eb93de16e2a780f8b8bc6c175d236f0d
draw,19,D2_minus_D1,brier,-0.0231968307288,-0.0130492466931,,,50,fa3b15821bc759097959c854aaaae8f040e51daf43ad390b80ed97682a4d7930
draw,20,D2_minus_D1,brier,-0.0231968307288,0.000317540844715,,,50,1a6507b3ca89e33feffc7162da044c3e3cc3bb34cb342c8183106ba387d9225b
draw,21,D2_minus_D1,brier,-0.0231968307288,0.00219941417432,,,50,e97494a5a8e83f7da0d2aa8207b2f87b779fac8a1cd4ef84e0f3020f958d1db1
draw,22,D2_minus_D1,brier,-0.0231968307288,-0.00103584175206,,,50,e6995af51c7821d520c80d93bd45a832a69afbdc5a71e8646cb69a0cd8555298
draw,23,D2_minus_D1,brier,-0.0231968307288,-0.0258137954998,,,50,bf435d79ba8093ea6bfce4e55e8805db1cab546b147e58e1ae3694a672e3675c
draw,24,D2_minus_D1,brier,-0.0231968307288,-0.00546882724491,,,50,c09239acb98cac610aaea21a9df2da961bb81c2117654a4e279d4f919c60673a
draw,25,D2_minus_D1,brier,-0.0231968307288,-0.00324594706209,,,50,baf71893415261e950810bc89a99fad039e8471c19f0064553af2f407e4daa31
draw,26,D2_minus_D1,brier,-0.0231968307288,-0.000461561572175,,,50,d5e03ce0c7e17835e66aa474ad39f1e3e63680eb85e4325be9177e6148c8d61c
draw,27,D2_minus_D1,brier,-0.0231968307288,-0.0319967565682,,,50,3ea949404f27a3ff0941f685b6bbb750c830aac440f8d3b8d08ef95c9ae2df8a
draw,28,D2_minus_D1,brier,-0.0231968307288,0.00489763142173,,,50,227e7fffbe02267c8c2ee9df900030c05c4ffb44920473402fb5c6fc02b6315f
draw,29,D2_minus_D1,brier,-0.0231968307288,0.00870144913203,,,50,e5578f2ed470fea7ddd42a8b68fb857b48b5281c199f463746c4f90960f0e7ef
