candidate,scope_type,scope_value,horizon,friction_bps,mean_signed_return_bps,mean_cohort_relative_signed_return_bps,positive_selection_pct,rows
interaction_system,month,2025-05,15_minute_terminal,10,50.8673176055,55.805027419,0.45,40
interaction_system,month,2025-05,15_minute_terminal,20,40.8673176055,45.805027419,0.45,40
interaction_system,month,2025-05,30_minute_terminal,0,78.4833334301,76.6996906431,0.475,40
interaction_system,month,2025-05,30_minute_terminal,10,68.4833334301,66.6996906431,0.45,40
interaction_system,month,2025-05,30_minute_terminal,20,58.4833334301,56.6996906431,0.45,40
price_system,month,2025-05,15_minute_terminal,0,45.0553711045,48.7598679045,0.425,40
price_system,month,2025-05,15_minute_terminal,10,35.0553711045,38.7598679045,0.425,40
price_system,month,2025-05,15_minute_terminal,20,25.0553711045,28.7598679045,0.425,40
price_system,month,2025-05,30_minute_terminal,0,122.27702823,105.875535567,0.6,40
price_system,month,2025-05,30_minute_terminal,10,112.27702823,95.8755355667,0.55,40
price_system,month,2025-05,30_minute_terminal,20,102.27702823,85.8755355667,0.55,40
random_admitted_stock,month,2025-05,15_minute_terminal,0,-56.6834707317,-57.0080779574,0.4,40
random_admitted_stock,month,2025-05,15_minute_terminal,10,-66.6834707317,-67.0080779574,0.375,40
random_admitted_stock,month,2025-05,15_minute_terminal,20,-76.6834707317,-77.0080779574,0.35,40
random_admitted_stock,month,2025-05,30_minute_terminal,0,-29.7221942895,-33.7754604227,0.5,40
random_admitted_stock,month,2025-05,30_minute_terminal,10,-39.7221942895,-43.7754604227,0.5,40
random_admitted_stock,month,2025-05,30_minute_terminal,20,-49.7221942895,-53.7754604227,0.5,40
strongest_one_minute_reversal,month,2025-05,15_minute_terminal,0,-10.7709640279,-14.4404484176,0.5,40
strongest_one_minute_reversal,month,2025-05,15_minute_terminal,10,-20.7709640279,-24.4404484176,0.5,40
strongest_one_minute_reversal,month,2025-05,15_minute_terminal,20,-30.7709640279,-34.4404484176,0.5,40
strongest_one_minute_reversal,month,2025-05,30_minute_terminal,0,73.0473619756,46.6173428933,0.65,40
strongest_one_minute_reversal,month,2025-05,30_minute_terminal,10,63.0473619756,36.6173428933,0.625,40
strongest_one_minute_reversal,month,2025-05,30_minute_terminal,20,53.0473619756,26.6173428933,0.625,40
activity_system,month,2025-06,15_minute_terminal,0,1.95842529628,1.08646193367,0.525,40
activity_system,month,2025-06,15_minute_terminal,10,-8.04157470372,-8.91353806633,0.525,40
activity_system,month,2025-06,15_minute_terminal,20,-18.0415747037,-18.9135380663,0.525,40
activity_system,month,2025-06,30_minute_terminal,0,-70.6422616752,-68.3101526316,0.4,40
activity_system,month,2025-06,30_minute_terminal,10,-80.6422616752,-78.3101526316,0.375,40
